path,reading,additional_info
images/34_かたこんぶ.png,かたこんぶ,ジャン・クリストフ／ロマン・ロラン 著　文学の漢字　5文字指定
images/35_あんじぇりゆす.png,あんじぇりゆす,ジャン・クリストフ／ロマン・ロラン 著　文学の漢字　7文字指定
images/36_しょう.png,しょう,則天文字　3文字指定　音読み指定
"images/37_じん,にん.png",じん、にん,則天文字　2文字指定　音読み指定
"images/38_よう,ゆう.png",よう、ゆう,則天文字　2文字指定　音読み指定
images/39_てん.png,てん,則天文字　2文字指定　音読み指定
images/40_かん.png,かん,2文字指定　音読み指定
images/41_たりうむ.png,たりうむ,元素　4文字指定
images/42_たりうむ.png,たりうむ,元素　4文字指定
images/43_たりうむ.png,たりうむ,元素　4文字指定
images/44_ぴんぽんがいこう.png,ぴんぽん'がいこう',
images/45_よろめく.png,よろめ'く',
images/46_しゅう.png,しゅう,※人名そのものではないため、ノンジャンルの分類
images/47_たいへい.png,たいへい,人名
"images/48_かつらつ,がろう.png",かつらつ、がろう,
images/49_けんげん.png,けんげん,
images/50_えへん.png,えへん,3文字指定
images/51_りょうちょう.png,りょうちょう,
images/52_しゃてつ.png,しゃてつ,
images/53_おつきゃく.png,おつきゃく,
images/54_ほうかい.png,ほうかい,
"images/55_だ,な.png",だ、な,1文字指定　音読み指定
images/56_のう.png,のう,2文字指定　音読み指定
images/57_ま.png,ま,1文字指定　音読み指定
images/58_さい.png,さい,※人名そのものではないため、ノンジャンルの分類
images/59_かいかい.png,かいかい,4文字指定
images/60_うまれる.png,う'まれる',
images/61_ひょう.png,ひょう,3文字指定
images/62_かくたん.png,かくたん,地名・建造物
images/63_はくえき.png,はくえき,人名
images/64_どうじん.png,どうじん,
images/65_へんせん.png,へんせん,
images/66_ていおう.png,ていおう,
"images/67_ずいひん,すいひん.png",ずいひん、すいひん,
images/68_ようじょう.png,ようじょう,
images/69_とうそう.png,とうそう,
images/70_そうとう.png,そうとう,4文字指定
images/71_あんこう.png,あんこう,4文字指定
images/72_ものあらがい.png,ものあらがい,6文字指定
images/73_まなづる.png,まなづる,4文字指定　特殊な読み
images/74_さんねんあぶ.png,さんねんあぶ,6文字指定
images/75_にんどういばら.png,にんどういばら,7文字指定
images/76_ひょうしぎ.png,ひょうしぎ,嘘字
images/77_かたぐるま.png,かたぐるま,嘘字
images/78_さんすくみ.png,さんすくみ,嘘字
"images/79_ぎょう,ごう.png",ぎょう、ごう,
images/80_せい.png,せい,
images/81_つばす.png,つばす,
"images/82_いしぶし,いしぶち.png",いしぶし、いしぶち,動物　4文字指定
"images/83_なまず,なまつ.png",なまず、なまつ,動物　3文字指定
images/84_しろねずみ.png,しろねずみ,動物　5文字指定
images/85_はなのくもやよいのはなごろも.png,'はなのくも'やよいのはなごろも,演目・外題　9文字指定
images/86_かたかしきのいい.png,かたかしきのいい,飲食　8文字指定
images/87_すし.png,すし,飲食
images/88_みぞれ.png,みぞれ,
images/89_ひるくちかい.png,ひるくちかい,6文字指定
"images/90_ぐりはま,ぐれはま.png",ぐりはま、ぐれはま,嘘字
images/91_つまからげはだしのふりそで.png,'つまからげ'はだしのふりそで,演目・外題　8文字指定
images/92_さんかつにせのつやむすび.png,'さんかつ'にせのつやむすび,演目・外題　8文字指定
images/93_くえてぃおう.png,くえてぃおう,チュノム　6文字指定
images/94_こむびんざん.png,こむびんざん,チュノム　6文字指定
"images/95_ばいんざーろん,ばいんやーろん.png",ばいんざーろん、ばいんやーろん,チュノム　7文字指定
images/96_にらむ.png,にら'む',
images/97_あなうら.png,あなうら,4文字指定
images/98_ばっかつ.png,ばっかつ,4文字指定
images/99_せりふ.png,せりふ,
images/100_ほくべい.png,ほくべい,
